Country,CountryCode,Year,GDP_growth,Tax_revenue_percent_GDP,Poverty_rate,Unemployment_rate,FDI_percent_GDP,Current_account_balance_percent_GDP,Urbanization_rate,Population_total,Population_growth_rate,Agriculture_value_added_percent_GDP,Industry_value_added_percent_GDP,Services_value_added_percent_GDP,Gini_index,Gross_capital_formation_percent_GDP,Trade_percent_GDP,R&D_expenditure_percent_GDP,School_enrollment_secondary,School_enrollment_tertiary,Adult_literacy_rate,Education_expenditure_percent_GDP,Pupil_teacher_ratio_primary,Access_to_electricity_percent,Internet_users_per_100,Mobile_subscriptions_per_100,Logistics_Performance_Index,Life_expectancy,Health_expenditure_percent_GDP,Under5_mortality_rate,Gov_Effectiveness,Control_Corruption,Reg_Quality,Rule_of_Law,Political_Stability,Voice_Accountability,Exports_percent_GDP,Patent_applications_residents
Kyrgyz Republic,KG,2016,4.33585592190116,16.9491731803417,8.0,3.474,9.08868385870298,-11.628233310749,35.944,6175338,2.21536456642779,12.8344731564928,26.5464240007793,50.1483211681284,26.8,33.9391792937351,105.823574017406,0.111210003495216,92.5431552749073,43.4013214111328,,6.58615016937256,25.03207,99.7,40.5,124.639,2.15593,70.9512195121951,6.41248226,21.1,-0.965182244777679,-1.10505127906799,-0.386156380176544,-1.04514920711517,-0.652019679546356,-0.418315917253494,35.8254088751692,84.0
Kyrgyz Republic,KG,2017,4.73993722377884,17.0462850607483,8.2,3.57,-1.39184288798722,-6.95269622627314,36.135,6306696,2.10483082494568,12.5145788958853,27.3080934715766,49.9324474240762,27.3,32.9020914624365,100.617445813258,0.107069998979568,91.9519109544673,41.2773246765137,,6.02618980407715,24.91353,100.0,50.8,136.138,,71.2,6.18586349,20.0,-0.75117963552475,-1.07767915725708,-0.379888355731964,-0.947072088718414,-0.362505912780762,-0.428766906261444,34.2528413648354,137.0
Kyrgyz Republic,KG,2018,3.75791013557165,17.998857013595,5.9,3.67,1.74369178553725,-11.6275560440076,36.351,6444079,2.15497985981547,11.6752864842384,27.4785136821163,49.7676969702079,27.7,36.0166291525462,98.8755599017608,0.101070001721382,92.4328793827586,39.9152526855469,,5.55267000198364,24.98946,100.0,62.8,137.742,2.55,71.4,5.01030922,19.1,-0.646288573741913,-0.961097419261932,-0.397319167852402,-0.928701460361481,-0.529712080955505,-0.354231774806976,31.6017300051143,
Kyrgyz Republic,KG,2019,4.60062565707598,15.9638338680814,4.9,4.295,4.3096066288398,-11.3840798908834,36.591,6590211,2.24236415055009,10.3739026248931,26.5803149529246,50.3261850794905,29.7,34.4462636342397,94.4302823542939,0.0853499993681908,92.7374435322778,41.5565948486328,99.5999984741211,6.07318115234375,,99.9,64.1,132.777,,71.6,4.25461817,18.4,-0.731618404388428,-0.960630595684052,-0.392827451229095,-0.914637327194214,-0.26556807756424,-0.45369553565979,33.4764696600324,92.0
Kyrgyz Republic,KG,2020,-7.14897757727955,14.0363281932396,9.4,4.63,-4.85484703138399,4.52522127933728,36.856,6726596,2.04838545399769,12.1696556730884,26.9042468476068,50.6891009156643,29.0,25.0304913984711,78.9922784304738,0.0835599973797798,93.41607905675,45.9235610961914,,6.61971664428711,,99.9,72.0,109.78,,71.8,4.94803715,17.8,-0.576322257518768,-1.12495839595795,-0.450061172246933,-0.962204277515411,-0.4557925760746,-0.57676887512207,29.5818778074207,63.0
Kyrgyz Republic,KG,2021,5.50700762671923,16.4912602816795,5.6,4.096,2.44569276771409,-7.97583742281609,37.146,6851224,1.83581016918265,12.4122330298243,23.7483015677374,51.036010149015,28.8,26.4936655518147,100.261376861569,0.0710199996829033,94.7706115879302,52.5253791809082,,6.17235136032104,,99.7,77.1,108.172,,71.9,5.35275412,17.5,-0.776387393474579,-1.15049564838409,-0.625227749347687,-1.09876596927643,-0.46646723151207,-0.590281307697296,35.8055898779632,83.0
Kyrgyz Republic,KG,2022,8.96750520041391,19.5419794530385,4.5,4.043,0.451992680624909,-42.683633961771,37.461,6975220,1.7936545985598,10.9968056651977,24.1941421977643,51.0155429673593,26.4,35.6406881799816,133.786718048766,0.0692199990153313,94.9229409367589,55.9184989929199,,7.1688437461853,,99.7,82.6,106.926,2.3,72.0487804878049,4.92258883,17.2,-0.890511035919189,-1.23040282726288,-0.63258820772171,-1.14770913124084,-0.471610426902771,-0.730020940303802,46.3372718307792,
Kyrgyz Republic,KG,2023,9.0132928339342,19.6084664812218,,3.991,3.23038727406597,,37.801,7099750,1.76957037310792,9.49216108207808,23.5839337797005,51.299348443838,,34.4590059457311,132.373403912336,0.0587599985301495,93.465834530678,56.0175933837891,,6.82694673538208,,100.0,88.5,108.591,,72.2487804878049,,17.0,-0.890727877616882,-1.22109532356262,-0.616720378398895,-1.1741224527359,-0.48121976852417,-0.723200380802155,36.8882232535821,
Kyrgyz Republic,KG,2024,9.04013556120012,,,3.289,,,38.166,7224614,1.74342348060281,8.60760362906387,24.7426957796029,52.1398197179977,,,,,,,,,,,,,,,,,,,,,,,,
Latvia,LV,2014,2.0949597710559,16.1740602062131,1.1,10.846,3.45179531513635,-1.54126838976541,67.952,1993782,-0.941743354234222,3.61639638963682,19.6186043266703,64.3035202598626,35.1,24.6659475075256,130.042252244959,0.689079999923706,113.706932067871,70.8979415893555,,5.28122997283936,11.08754,100.0,75.8,119.55,3.402789,74.1243902439024,5.46339607,5.5,0.950847923755646,0.40977743268013,1.16674530506134,0.870915234088898,0.487268358469009,0.849420309066772,63.5721016274102,103.0
